[2024-08-16T04:58:44.037+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-16T04:58:44.110+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-16T04:58:30.364569+00:00 [queued]>
[2024-08-16T04:58:44.126+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-16T04:58:30.364569+00:00 [queued]>
[2024-08-16T04:58:44.141+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-16T04:58:44.172+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-08-16 04:58:30.364569+00:00
[2024-08-16T04:58:44.187+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=454) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-16T04:58:44.189+0000] {standard_task_runner.py:64} INFO - Started process 456 to run task
[2024-08-16T04:58:44.186+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_data', 'send_data', 'manual__2024-08-16T04:58:30.364569+00:00', '--job-id', '255', '--raw', '--subdir', 'DAGS_FOLDER/stream.py', '--cfg-path', '/tmp/tmpl1c_kyqt']
[2024-08-16T04:58:44.190+0000] {standard_task_runner.py:91} INFO - Job 255: Subtask send_data
[2024-08-16T04:58:44.228+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-16T04:58:44.290+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_data.send_data manual__2024-08-16T04:58:30.364569+00:00 [running]> on host 44da6da64016
[2024-08-16T04:58:44.472+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_data' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-08-16T04:58:30.364569+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-08-16T04:58:30.364569+00:00'
[2024-08-16T04:58:44.474+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-16T04:58:45.505+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.506+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.507+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.508+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.508+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.509+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.509+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.510+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.511+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.511+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.512+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.512+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.513+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.513+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.514+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.515+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.515+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.516+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.517+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.518+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.518+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.518+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.519+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.519+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.520+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.520+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.521+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.521+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.522+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.524+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.525+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.527+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.532+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.534+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.535+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.536+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.538+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.545+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.546+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.566+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.567+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.573+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.574+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.577+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.579+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.581+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.583+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.584+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.586+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.587+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.588+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.589+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.591+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.592+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.593+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.595+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.595+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.596+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.597+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.599+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.600+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.601+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.602+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.604+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.605+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.606+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.607+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.608+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.610+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.614+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.615+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.623+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.624+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.625+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.626+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.628+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.628+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.630+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.633+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.645+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.653+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.662+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.667+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.668+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.669+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.674+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.684+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.694+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.699+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.700+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.702+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.704+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.731+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.742+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.752+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.756+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.763+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.765+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.767+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.768+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.769+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.772+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.773+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.780+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.782+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.783+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.784+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.786+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.787+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.790+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.797+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.805+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.806+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.807+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.808+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.809+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:58:45.811+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
