[2024-08-16T15:21:17.283+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-16T15:21:17.336+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-16T15:21:04.545449+00:00 [queued]>
[2024-08-16T15:21:17.348+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-16T15:21:04.545449+00:00 [queued]>
[2024-08-16T15:21:17.350+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-16T15:21:17.374+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-08-16 15:21:04.545449+00:00
[2024-08-16T15:21:17.384+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=663) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-16T15:21:17.385+0000] {standard_task_runner.py:64} INFO - Started process 665 to run task
[2024-08-16T15:21:17.383+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_data', 'send_data', 'manual__2024-08-16T15:21:04.545449+00:00', '--job-id', '266', '--raw', '--subdir', 'DAGS_FOLDER/stream.py', '--cfg-path', '/tmp/tmpmvo96txv']
[2024-08-16T15:21:17.387+0000] {standard_task_runner.py:91} INFO - Job 266: Subtask send_data
[2024-08-16T15:21:17.411+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-16T15:21:17.464+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_data.send_data manual__2024-08-16T15:21:04.545449+00:00 [running]> on host 44da6da64016
[2024-08-16T15:21:17.617+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_data' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-08-16T15:21:04.545449+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-08-16T15:21:04.545449+00:00'
[2024-08-16T15:21:17.619+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-16T15:21:18.654+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.655+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.656+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.657+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.658+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.659+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.660+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.661+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.662+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.662+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.663+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.664+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.664+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.665+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.666+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.667+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.668+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.669+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.670+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.672+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.673+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.674+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T15:21:18.675+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
