[2024-08-13T14:32:50.151+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-13T14:32:50.200+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-13T14:32:35.672828+00:00 [queued]>
[2024-08-13T14:32:50.214+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-13T14:32:35.672828+00:00 [queued]>
[2024-08-13T14:32:50.215+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-13T14:32:50.239+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-08-13 14:32:35.672828+00:00
[2024-08-13T14:32:50.254+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=345) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-13T14:32:50.256+0000] {standard_task_runner.py:64} INFO - Started process 347 to run task
[2024-08-13T14:32:50.254+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_data', 'send_data', 'manual__2024-08-13T14:32:35.672828+00:00', '--job-id', '213', '--raw', '--subdir', 'DAGS_FOLDER/stream.py', '--cfg-path', '/tmp/tmpw6z102jn']
[2024-08-13T14:32:50.258+0000] {standard_task_runner.py:91} INFO - Job 213: Subtask send_data
[2024-08-13T14:32:50.284+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-13T14:32:50.347+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_data.send_data manual__2024-08-13T14:32:35.672828+00:00 [running]> on host 3b2272169cb8
[2024-08-13T14:32:50.557+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_data' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-08-13T14:32:35.672828+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-08-13T14:32:35.672828+00:00'
[2024-08-13T14:32:50.560+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-13T14:32:52.618+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:32:52.619+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
