[2024-08-13T14:41:48.248+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-13T14:41:48.313+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-13T14:41:38.109655+00:00 [queued]>
[2024-08-13T14:41:48.332+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-13T14:41:38.109655+00:00 [queued]>
[2024-08-13T14:41:48.349+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-13T14:41:48.378+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-08-13 14:41:38.109655+00:00
[2024-08-13T14:41:48.392+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=611) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-13T14:41:48.394+0000] {standard_task_runner.py:64} INFO - Started process 613 to run task
[2024-08-13T14:41:48.392+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_data', 'send_data', 'manual__2024-08-13T14:41:38.109655+00:00', '--job-id', '219', '--raw', '--subdir', 'DAGS_FOLDER/stream.py', '--cfg-path', '/tmp/tmpw1d12mir']
[2024-08-13T14:41:48.396+0000] {standard_task_runner.py:91} INFO - Job 219: Subtask send_data
[2024-08-13T14:41:48.422+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-13T14:41:48.519+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_data.send_data manual__2024-08-13T14:41:38.109655+00:00 [running]> on host 3b2272169cb8
[2024-08-13T14:41:48.774+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_data' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-08-13T14:41:38.109655+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-08-13T14:41:38.109655+00:00'
[2024-08-13T14:41:48.777+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-13T14:41:49.813+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.816+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.820+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.822+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.825+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.827+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.828+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.829+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.830+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.832+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.833+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.834+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.835+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.836+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.837+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.837+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.838+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.839+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.840+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.841+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.842+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.842+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.843+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.844+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.845+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.846+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.847+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.847+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.848+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.849+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.850+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.850+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.851+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.852+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.852+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.853+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.854+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.854+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.855+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.855+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.856+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.856+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.857+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.858+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.858+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.859+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.860+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.861+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.861+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.862+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.863+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.863+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.864+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.864+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.865+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.865+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.866+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.867+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.867+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.868+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.869+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.869+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.870+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.870+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.871+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.871+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.872+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.872+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.873+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.874+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.874+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.875+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.875+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.876+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.876+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.877+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.877+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.878+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.879+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.879+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.880+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.881+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.881+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.882+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.882+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.883+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.884+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.884+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.885+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.885+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.886+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.887+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.887+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.888+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.888+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.889+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.890+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.890+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.891+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.891+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.892+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.893+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.893+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.894+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.895+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.895+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.896+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.896+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.897+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.898+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.898+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.899+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.900+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.900+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.901+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.902+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.902+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.903+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.904+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.904+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.905+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.905+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.906+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.907+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T14:41:49.907+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
