[2024-08-09T07:38:40.193+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-09T07:38:40.238+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming.send_data manual__2024-08-09T07:38:16.035015+00:00 [queued]>
[2024-08-09T07:38:40.249+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming.send_data manual__2024-08-09T07:38:16.035015+00:00 [queued]>
[2024-08-09T07:38:40.270+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-09T07:38:40.288+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-08-09 07:38:16.035015+00:00
[2024-08-09T07:38:40.299+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=749) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-09T07:38:40.301+0000] {standard_task_runner.py:64} INFO - Started process 751 to run task
[2024-08-09T07:38:40.299+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming', 'send_data', 'manual__2024-08-09T07:38:16.035015+00:00', '--job-id', '130', '--raw', '--subdir', 'DAGS_FOLDER/topic.py', '--cfg-path', '/tmp/tmpfg6wn85d']
[2024-08-09T07:38:40.302+0000] {standard_task_runner.py:91} INFO - Job 130: Subtask send_data
[2024-08-09T07:38:40.324+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-09T07:38:40.374+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming.send_data manual__2024-08-09T07:38:16.035015+00:00 [running]> on host 110119ffa3a6
[2024-08-09T07:38:40.500+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-08-09T07:38:16.035015+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-08-09T07:38:16.035015+00:00'
[2024-08-09T07:38:40.501+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-09T07:38:41.958+0000] {logging_mixin.py:188} INFO - Delivered message to topic_finnhub [0]
[2024-08-09T07:38:41.959+0000] {logging_mixin.py:188} INFO - Delivered message to topic_finnhub [0]
[2024-08-09T07:38:41.960+0000] {logging_mixin.py:188} INFO - Delivered message to topic_finnhub [0]
[2024-08-09T07:38:41.961+0000] {logging_mixin.py:188} INFO - Delivered message to topic_finnhub [0]
[2024-08-09T07:38:41.961+0000] {logging_mixin.py:188} INFO - Delivered message to topic_finnhub [0]
[2024-08-09T07:38:41.962+0000] {logging_mixin.py:188} INFO - Delivered message to topic_finnhub [0]
