[2024-08-13T09:06:50.552+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-13T09:06:50.622+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-13T09:06:35.620543+00:00 [queued]>
[2024-08-13T09:06:50.635+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-13T09:06:35.620543+00:00 [queued]>
[2024-08-13T09:06:50.636+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-13T09:06:50.662+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-08-13 09:06:35.620543+00:00
[2024-08-13T09:06:50.675+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=340) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-13T09:06:50.673+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_data', 'send_data', 'manual__2024-08-13T09:06:35.620543+00:00', '--job-id', '207', '--raw', '--subdir', 'DAGS_FOLDER/stream.py', '--cfg-path', '/tmp/tmpfjzuup12']
[2024-08-13T09:06:50.677+0000] {standard_task_runner.py:64} INFO - Started process 342 to run task
[2024-08-13T09:06:50.677+0000] {standard_task_runner.py:91} INFO - Job 207: Subtask send_data
[2024-08-13T09:06:50.705+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-13T09:06:50.753+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_data.send_data manual__2024-08-13T09:06:35.620543+00:00 [running]> on host 379e0e17b6cf
[2024-08-13T09:06:50.884+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_data' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-08-13T09:06:35.620543+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-08-13T09:06:35.620543+00:00'
[2024-08-13T09:06:50.886+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-13T09:06:52.942+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.943+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.944+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.945+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.946+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.947+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.947+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.948+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.948+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.949+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.950+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.950+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.951+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.951+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.952+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.953+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.953+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.954+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.955+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.956+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.957+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.957+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.958+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.959+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.960+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.961+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.961+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.962+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.962+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.963+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.964+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.964+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.965+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
[2024-08-13T09:06:52.965+0000] {logging_mixin.py:188} INFO - Delivered message to stock_data [0]
