[2024-08-16T05:22:30.454+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-16T05:22:30.521+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-16T05:22:21.223268+00:00 [queued]>
[2024-08-16T05:22:30.536+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-16T05:22:21.223268+00:00 [queued]>
[2024-08-16T05:22:30.556+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-16T05:22:30.579+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-08-16 05:22:21.223268+00:00
[2024-08-16T05:22:30.594+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1013) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-16T05:22:30.590+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_data', 'send_data', 'manual__2024-08-16T05:22:21.223268+00:00', '--job-id', '258', '--raw', '--subdir', 'DAGS_FOLDER/stream.py', '--cfg-path', '/tmp/tmps952tnx0']
[2024-08-16T05:22:30.597+0000] {standard_task_runner.py:64} INFO - Started process 1015 to run task
[2024-08-16T05:22:30.597+0000] {standard_task_runner.py:91} INFO - Job 258: Subtask send_data
[2024-08-16T05:22:30.630+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-16T05:22:30.700+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_data.send_data manual__2024-08-16T05:22:21.223268+00:00 [running]> on host 44da6da64016
[2024-08-16T05:22:30.882+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_data' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-08-16T05:22:21.223268+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-08-16T05:22:21.223268+00:00'
[2024-08-16T05:22:30.884+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-16T05:22:31.913+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.914+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.915+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.916+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.917+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.917+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.918+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.919+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.920+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.920+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.921+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.922+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.923+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.923+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.924+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.925+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.925+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.926+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.927+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.927+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.928+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.929+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.930+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.931+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.931+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.932+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.933+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.933+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.934+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.935+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.935+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.936+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.936+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.937+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.938+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.938+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.939+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.940+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.940+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.941+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.942+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.942+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.943+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.944+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.944+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.945+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.945+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.946+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.947+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.947+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.948+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.949+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.949+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.950+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.951+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.951+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.952+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.953+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.953+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.954+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.954+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.955+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.956+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.956+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.957+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.957+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.958+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.959+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.960+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.961+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.961+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.962+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.962+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.963+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.964+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.965+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.965+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.966+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.967+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.967+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.968+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.969+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.969+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.970+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.971+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.971+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.972+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.972+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.973+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.974+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.974+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.975+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.977+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.978+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.979+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.979+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.980+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.981+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T05:22:31.982+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
