[2024-08-16T04:54:46.699+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-16T04:54:46.781+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-16T04:54:32.107731+00:00 [queued]>
[2024-08-16T04:54:46.801+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-16T04:54:32.107731+00:00 [queued]>
[2024-08-16T04:54:46.803+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-16T04:54:46.838+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-08-16 04:54:32.107731+00:00
[2024-08-16T04:54:46.854+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=339) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-16T04:54:46.855+0000] {standard_task_runner.py:64} INFO - Started process 341 to run task
[2024-08-16T04:54:46.854+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_data', 'send_data', 'manual__2024-08-16T04:54:32.107731+00:00', '--job-id', '252', '--raw', '--subdir', 'DAGS_FOLDER/stream.py', '--cfg-path', '/tmp/tmptag0eb7d']
[2024-08-16T04:54:46.857+0000] {standard_task_runner.py:91} INFO - Job 252: Subtask send_data
[2024-08-16T04:54:46.891+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-16T04:54:46.999+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_data.send_data manual__2024-08-16T04:54:32.107731+00:00 [running]> on host 44da6da64016
[2024-08-16T04:54:47.248+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_data' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-08-16T04:54:32.107731+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-08-16T04:54:32.107731+00:00'
[2024-08-16T04:54:47.251+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-16T04:54:49.322+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.324+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.325+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.327+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.330+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.332+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.335+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.352+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.354+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.355+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.359+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.365+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.366+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.368+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.369+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.370+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.371+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.371+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.373+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.377+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.383+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.384+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.385+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.387+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.388+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.389+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.391+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.392+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.395+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.399+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.401+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.402+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.404+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.405+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.406+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.408+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.409+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.410+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.411+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.415+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.417+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.418+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.419+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.420+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.421+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.421+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.422+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.423+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.423+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.424+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.425+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.425+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.427+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.428+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.429+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.431+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.433+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.434+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.435+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.436+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.437+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.438+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.439+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.440+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.442+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.444+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.449+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.451+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.452+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.461+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.464+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.467+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.468+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.469+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.471+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.474+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.477+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.478+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.483+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.489+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.491+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.492+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.493+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.494+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.500+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.501+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.502+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.504+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.505+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.515+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.517+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.518+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.519+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.520+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.521+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.522+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.523+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.524+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.525+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.526+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.526+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.527+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.528+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-16T04:54:49.530+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
